document_name,link_to_source,document_type,judge_author,court_type,country,state,court,order_type,case_types,ai_type,ai_use_case_for_filings,prohibited,disclose_ai_use_w_each_filing,disclose_ai_tool_used,disclose_how_ai_tool_used,identify_sections_drafted_with_ai,disclose_process_used_to_check_accuracy,certify_accuracy_non_use_on_notice,certify_accuracy_non_use_w_each_filing,certify_accuracy_if_planning_to_use_ai,certify_no_unauthorized_disclosure,certify_accuracy_w_each_filing_if_ai_used,just_a_warning,references_other_procedural_rules,maintain_ai_prompt_records,proprietary_info_nondisclosure_req,disclose_ai_generated_evidence,notice_to_opposing_parties_ai_evidence,ai_to_record_in_courtroom,applies_to,other_reqs_notes,date_yyyy_mm,court_original,court_abbreviation,judge_title,judge_name_clean,judge_last_name
"""Artificial Intelligence in the Practice of Law
What is AI and can I or should I use it in my practice?""",https://nsbs.org/wp-content/uploads/2023/12/short-guide-on-A.I.pdf,Policy/Guidelines,Nova Scotia Barristers' Society,State,Canada,,,,,Gen AI,Use,,,,,,,,,,,,checked,,,,,,,Attorneys,,2024-01,,,,Nova Scotia Barristers' Society,Society
Notice – Legal Practice: Preliminary Guidelines on the Use of Artificial Intelligence by New Jersey Lawyers,https://www.njcourts.gov/sites/default/files/notices/2024/01/n240125a.pdf?cb=aac0e368,Policy/Guidelines,Chief Justice Stuart Rabner,State,US,New Jersey,New Jersey Supreme Court,State Level,"Civil,Criminal",Any AI,Use,,,,,,,,,,,,checked,,,,,,,Attorneys,,2024-01,New Jersey Supreme Court,New Jersey Supreme Court,Chief Justice,Stuart Rabner,Rabner
Rules of Court Integrated Domestic Violence Court,https://www.nycourts.gov/legacyPDFS/COURTS/1jd/supctmanh/Rules/IDV-tandra-dawson.pdf,Standing Order,Judge Tandra L. Dawson,State,US,New York,New York County Integrated Domestic Violence Court,Judge Level,"Civil,Criminal",Any AI,Prepare,,Yes,,,,,,No,,,checked,,No,,,,,,"Pro Se Litigants,Attorneys",,2024-02,New York County Integrated Domestic Violence Court,New York County Integrated Domestic Violence Court,Judge,Tandra L. Dawson,Dawson
Standing Order for Civil Cases Before Judge Rita F. Lin,https://www.cand.uscourts.gov/wp-content/uploads/2023/03/2024-09-18-Civil-Standing-Order.pdf,Standing Order,Judge Rita F. Lin,Federal,US,California,US DC Northern District of California,Judge Level,Civil,Gen AI,Research,,No,,,,,,No,,,,checked,No,,,,,,Attorneys,,2024-02,US DC Northern District of California,N.D. Cal.,Judge,Rita F. Lin,Lin
Courtroom rules 2-23-24,https://www.nycourts.gov/LegacyPDFS/courts/8jd/pdfs/IAS_Rules/JudgeHanlon2025.pdf,Standing Order,Judge Grace M. Hanlon,State,US,New York,"Chautauqua County Supreme Court, 8th Judicial District",Judge Level,"Civil,Criminal",Gen AI,Draft,,Yes,,,,,,No,,,checked,,No,,,,,,All Filers,,2024-02,"Chautauqua County Supreme Court, 8th Judicial District","Chautauqua County Supreme Court, 8th Judicial District",Judge,Grace M. Hanlon,Hanlon
Part Rules: V. Artificial Intelligence,https://www.nycourts.gov/LegacyPDFS/courts/9jd/PartRules/PR_DSZuckerman.pdf,Standing Order,Judge David S. Zuckerman,State,US,New York,"Supreme Court, Orange County",Judge Level,Civil,Any AI,Generate Content,,Yes,,,checked,,,No,,,,,No,,,,,,"Pro Se Litigants,Attorneys",,2024-02,"Supreme Court, Orange County","Supreme Court, Orange County",Judge,David S. Zuckerman,Zuckerman
Guidelines for the Use of Generative Artificial Intelligence in the Practice of Law,https://www.lawsociety.sk.ca/wp-content/uploads/Law-Society-of-Saskatchewan-Generative-Artificial-Intelligence-Guidelines.pdf,Policy/Guidelines,Law Society of Saskatchewan,State,Canada,,,,,Gen AI,Use,,,,,,,,,,,,checked,,,,,,,Attorneys,,2024-02,,,,Law Society of Saskatchewan,Saskatchewan
"Standing Order for Civil Cases Assigned to Judge Stanley Blumenfeld, Jr.",https://www.cacd.uscourts.gov/sites/default/files/documents/SB/AD/1.%20Civil%20Standing%20Order%20%283.1.24%29%20%5BFinal%5D.pdf,Standing Order,"Judge Stanley Blumenfeld, Jr.",Federal,US,California,US DC Central District of California,Judge Level,Civil,Gen AI,Generate Content,,Yes,,,,,,No,,,checked,,FRCP 11,,,,,,Any Parties,,2024-03,US DC Central District of California,C.D. Cal.,Judge,"Stanley Blumenfeld, Jr.",Blumenfeld
Litigation Preferences: Mandatory Certification Regarding Generative Artificial Intelligence,https://cp.cuyahogacounty.us/court-resources/judges/judge-john-j-russo/,Standing Order,Judge John J. Russo,State,US,Ohio,"Cuyahoga County Common Pleas Court, General Division",Judge Level,Civil,Gen AI,Draft,,No,,,,,checked,No,,,,,FRCP 11,,,,,,Attorneys,,2024-03,"Cuyahoga County Common Pleas Court, General Division","Cuyahoga County Common Pleas Court, General Division",Judge,John J. Russo,Russo
Standing Order Regarding Use of Artificial Intelligence,https://topics.txcourts.gov/LocalRulesPublic/PreviewAttachment/1866,Standing Order,Judge Jeff McKnight,State,US,Texas,"30th, 78th, 89th District Courts, Wichita County",Court Level,"Civil,Criminal",Any AI,"Draft,Research",,No,,,,,,No,checked,,,,No,,,,,"Recording, Listening, Transcribing Prohibited","Pro Se Litigants,Attorneys",,2024-03,"30th, 78th, 89th District Courts, Wichita County","30th, 78th, 89th District Courts, Wichita County",Judge,Jeff McKnight,McKnight
Order on Artificial Intelligence,https://www.cit.uscourts.gov/sites/cit/files/Order_on_Artificial_Intelligence-Judge_Kelly.pdf,Standing Order,Judge Claire R. Kelly,Federal,US,,US Court of International Trade,Judge Level,Civil,Gen AI,Draft,,Yes,checked,,checked,,,No,,checked,,,,,,,,,Any Parties,,2024-03,US Court of International Trade,Ct. Int'l Trade,Judge,Claire R. Kelly,Kelly
Order on Artificial Intelligence,https://www.cit.uscourts.gov/sites/cit/files/JAR_Order_on_Artificial_Intelligence.pdf,Standing Order,Judge Jane A. Restani,Federal,US,,US Court of International Trade,Judge Level,Civil,Gen AI,Draft,,Yes,checked,,checked,,,No,,checked,,,,,,,,,Any Parties,,2024-03,US Court of International Trade,Ct. Int'l Trade,Judge,Jane A. Restani,Restani
Memorandum of Law Requirements,https://www.ilnd.uscourts.gov/judge-cmp-detail.aspx?cmpid=626,Standing Order,Judge Sharon Johnson Coleman,Federal,US,Illinois,US DC Northern District of Illinois,Judge Level,"Civil,Criminal",Any AI,Draft,checked,No,,,,,,No,,,,,No,,,,,,Any Parties,"""Parties may not use Artificial Intelligence to draft their memoranda or as authority to support their motions. """,2024-04,US DC Northern District of Illinois,N.D. Ill.,Judge,Sharon Johnson Coleman,Coleman
Chancery - Calendar 9 - Horan - Standing Order (eff. 4.5.24): XIII. Artificial Intelligence,https://ocj-web-files.s3.us-east-2.amazonaws.com/orders/SO%202024%20CH%20Judge%20Horan%20Calendar%209%20Calendar%20Courtroom%20Procedures%20%28Apr.%205%202024%29.pdf?VersionId=bD2yzSkzx_owNaYWACofBcjjmOLSuHM7,Standing Order,Judge Cecilia A. Horan,State,US,Illinois,"Circuit Court of Cook County, Chancery Division",Judge Level,Civil,LLM AI,Prepare,,Yes,,,,,,No,,,,,No,,,,,,Any Parties,,2024-04,"Circuit Court of Cook County, Chancery Division","Circuit Court of Cook County, Chancery Division",Judge,Cecilia A. Horan,Horan
Licensee use of generative artificial intelligence,https://lawsocietyontario-dwd0dscmayfwh7bj.a01.azurefd.net/media/lso/media/lawyers/practice-supports-resources/white-paper-on-licensee-use-of-generative-artificial-intelligence-en.pdf,Policy/Guidelines,Law Society of Ontario,State,Canada,,,State Level,,Gen AI,Use,,,,,,,,,,,,checked,,,,,,,Attorneys,,2024-04,,,,Law Society of Ontario,Ontario
Generative Artificial Intelligence: Guidelines for Use in the Practice of Law,https://educationcentre.lawsociety.mb.ca/wp-content/uploads/sites/2/2024/04/Generative-Artificial-Intelligence-Guidelines-for-Use-in-the-Practice-of-Law.pdf,Policy/Guidelines,Law Society of Manitoba,State,Canada,,,,,Gen AI,Use,,,,,,,,,,,,checked,,,,,,,Attorneys,,2024-04,,,,Law Society of Manitoba,Manitoba
Law and Motion Schedule: 14. Artificial Intelligence,https://www.cacd.uscourts.gov/honorable-rozella-oliver,Standing Order,Judge Rozella A. Oliver,Federal,US,California,US DC Central District of California,Judge Level,"Criminal,Civil",Gen AI,Generate Content,,Yes,,,,,,No,,,checked,,FRCP 11,,,,,,Any Parties,,2024-05,US DC Central District of California,C.D. Cal.,Judge,Rozella A. Oliver,Oliver
Amended and Restated Standing Order,https://ocj-web-files.s3.us-east-2.amazonaws.com/orders/Chancery%20-%20Calendar%2064%20-%20Judge%20Wright%20-%20Amended%20Standing%20Order%20%28May%2031%202024%29_0.pdf?VersionId=8PBF.tc2_f6Vfc.eitTlZ_LoTUqjIS4v,Standing Order,Judge James A. Wright,State,US,Illinois,"Circuit Court of Cook County, Chancery Division, Mortgage Foreclosure/Mechanics Lien Section",Judge Level,Civil,Any AI,"Create,Analyze",,Yes,,,,,,No,,,,,No,,,,,,Any Parties,,2024-05,"Circuit Court of Cook County, Chancery Division, Mortgage Foreclosure/Mechanics Lien Section","Circuit Court of Cook County, Chancery Division, Mortgage Foreclosure/Mechanics Lien Section",Judge,James A. Wright,Wright
Law - Judge Ramos - Standing Order,https://ocj-web-files.s3.us-east-2.amazonaws.com/orders/Law%20-%20Judge%20Ramos%20-%20Standing%20Order%20%28May%2030%2C%202024%29.pdf?VersionId=g6dVsvmsqmjK.QRGq5YLirA6QeNTNigI,Standing Order,Judge Sandra Gisela Ramos,State,US,Illinois,"Circuit Court of Cook County, Law Division",Judge Level,Civil,Any AI,Create,,Yes,,,,,,No,,,checked,,No,,,,,,Any Parties,,2024-05,"Circuit Court of Cook County, Law Division","Circuit Court of Cook County, Law Division",Judge,Sandra Gisela Ramos,Ramos
In Re: Use of Artificial Intelligence,https://www.ncwd.uscourts.gov/sites/default/files/Standing%20Order%20In%20Re-%20Use%20of%20Artificial%20Intelligence2.pdf,Standing Order,"Chief Judge Martin Reidinger; Judge Frank D. Whitney; Judge Max O. Cogburn, Jr.; Judge Kenneth D. Bell; Judge Robert J. Conrad Jr.; Judge Graham C. Mullen; Judge Richard L. Voorhees",Federal,US,North Carolina,US DC Western District of North Carolina,Court Level,"Civil,Criminal","Any AI, excluding standard research tools",Research,checked,No,,,,,,Yes,,,,,No,,,,,,"Pro Se Litigants,Attorneys","AI Legal Research Tool Exceptions limited to Westlaw, Lexis, FastCase, and Bloomberg",2024-06,US DC Western District of North Carolina,W.D. N.C.,Chief Judge,Martin Reidinger,Reidinger
Judicial Policies and Procedures: G. Standing Orders 3. Artificial Intellgience,https://www.paed.uscourts.gov/sites/paed/files/documents/procedures/hodpol.pdf,Standing Order,Judge Kelley B. Hodge,Federal,US,Pennsylvania,US DC Eastern District of Pennsylvania,Judge Level,"Civil,Criminal",Gen AI,Use,,No,,,,,,No,,,,checked,"FRCP 11,FRCP 26(g)",,,,,,Any Parties,"Notes that the order also applies to the serving/delivering of a request, response, or objection to discovery",2024-06,US DC Eastern District of Pennsylvania,E.D. Pa.,Judge,Kelley B. Hodge,Hodge
Administrative Order In Re: Generative Artificial Intelligence And Its Use In The Superior Court Of Cabarrus County,https://www.nccourts.gov/documents/local-rules-and-forms/administrative-order-in-re-generative-artificial-intelligence-and-its-use-in-the-superior-court-of-cabarrus-county,Administrative Order,Judge Martin B. McGee,State,US,North Carolina,Superior Court of Cabarrus County (District 25),Court Level,"Civil,Criminal",Gen AI,"Draft,Research",,No,,,,,,No,,,,checked,"RPC 1.1 cmt. 8,RPC 1.6,FRCP 11,FRCP 26(g)",,,,checked,,"Pro Se Litigants,Attorneys",Must disclose use of AI-Generated evidence  before trial,2024-07,Superior Court of Cabarrus County (District 25),Superior Court of Cabarrus County (District 25),Judge,Martin B. McGee,McGee
Haikala Chambers Initial Order: XI. Use of AI to Create Court Submissions,https://www.alnd.uscourts.gov/sites/alnd/files/MHH%20Initial%20Order%20as%20of%207-8-24.pdf,Standing Order,Judge Madeline H. Haikala,Federal,US,Alabama,US DC Northern District of Alabama,Judge Level,Civil,Gen AI,Prepare,,No,,,,,,No,,,,checked,FRCP 11,,,,,,"Pro Se Litigants,Attorneys",,2024-07,US DC Northern District of Alabama,N.D. Ala.,Judge,Madeline H. Haikala,Haikala
Standing Order Regarding Use of Artificial Intelligence,https://topics.txcourts.gov/LocalRulesPublic/PreviewAttachment/2014,Standing Order,Judge Chris Porter,State,US,Texas,Gray County Court,Court Level,"Civil,Criminal",Gen AI,"Research,Draft",,No,,,,,,,checked,,,,,,,,,,"Pro Se Litigants,Attorneys",,2024-07,Gray County Court,Gray County Court,Judge,Chris Porter,Porter
Standing Order Regarding Use of Artificial Intelligence,https://topics.txcourts.gov/LocalRulesPublic/PreviewAttachment/1997,Standing Order,Judge Joanna E. MacKenzie,State,US,Texas,Hudspeth County Court,Court Level,"Civil,Criminal",Gen AI,"Research,Draft",,No,,,,,,No,checked,,,,,,,,,,"Pro Se Litigants,Attorneys",,2024-07,Hudspeth County Court,Hudspeth County Court,Judge,Joanna E. MacKenzie,MacKenzie
Local Rule 49 - Use of Artificial Intelligence in Court Submissions,https://hamiltoncountycourts.org/wp-content/uploads/2024/07/Local-Rule-49-AI.pdf,Local Rules,-,State,US,Illinois,Hamilton County Court,Court Level,"Civil,Criminal",Any AI,"Create,Edit",,Yes,checked,checked,,,,,,,checked,,No,,,,,,"Any Parties,Attorneys",,2024-07,Hamilton County Court,Hamilton County Court,,-,-
Use of Generative AI,https://www.pamd.uscourts.gov/content/judge-karoline-mehalchick,Standing Order,Judge Karoline Mehalchick,Federal,US,Pennsylvania,US DC Middle District of Pennsylvania,Judge Level,"Civil,Criminal",Gen AI,Prepare,,Yes,checked,,checked,,,No,,,,,No,,,,,,Any Parties,,2024-08,US DC Middle District of Pennsylvania,M.D. Pa.,Judge,Karoline Mehalchick,Mehalchick
Standing Order for Civil Cases Before Judge Eumi K. Lee: G. Use of Generative AI Tools,https://www.cand.uscourts.gov/wp-content/uploads/judges/lee-ekl/Civil-Standing-Order-8.16.2024-Website-Hyperlink-Corrected-2.pdf,Standing Order,Judge Eumi K. Lee,Federal,US,California,US DC Northern District of California,Judge Level,Civil,Gen AI,Generate Content,,Yes,,,,,,No,,,checked,,No,checked,,,,,Attorneys,,2024-08,US DC Northern District of California,N.D. Cal.,Judge,Eumi K. Lee,Lee
Standing Order for Courtroom 2039,https://ocj-web-files.s3.us-east-2.amazonaws.com/orders/Law%20-%20Courtroom%202309%20-%20Golden%20-%20Standing%20Order%20%28Aug%2012%2C%202024%29.pdf?VersionId=9sZ6uAI7IMiGGQPofIDu6mSR_YgtJmYr,Standing Order,Judge Jean M. Golden,State,US,Illinois,"Circuit Court of Cook County, Law Division, Trial Section",Judge Level,Civil,Any AI,Create,,Yes,,,,,,No,,,checked,,No,,,,,,Any Parties,,2024-08,"Circuit Court of Cook County, Law Division, Trial Section","Circuit Court of Cook County, Law Division, Trial Section",Judge,Jean M. Golden,Golden
Standing Order & Chambers Practices: VII. Format of Documents & Artificial Intelligence (AI),https://www.nvd.uscourts.gov/wp-content/uploads/2024/08/MDC-Final-Standing-Order-080724-v5-1.pdf,Standing Order,Magistrate Judge Maximiliano D. Couvillier III,Federal,US,Nevada,US DC District of Nevada,Judge Level,Civil,Any AI,"Draft,Create",,Yes,,,,,,No,,,,,FRCP 11,,,,,,"Pro Se Litigants,Attorneys",,2024-08,US DC District of Nevada,D. Nev.,Magistrate Judge,Maximiliano D. Couvillier III,Couvillier
Standing Order No.3: Use Artificial Intelligence for Any Court Filing,https://topics.txcourts.gov/LocalRulesPublic/PreviewAttachment/2030,Standing Order,-,State,US,Texas,"County Courts at Law, Collin County",Court Level,"Civil,Criminal",Any AI,Prepare,,Yes,,,,,,No,,,checked,,No,,,,,,"Pro Se Litigants,Attorneys",,2024-08,"County Courts at Law, Collin County","County Courts at Law, Collin County",,-,-
"In Re: Amendments to Rules Regulating the Florida Bar - Chapter 4: Rules 4-1.1, 4-1.6, 4-5.1, and 4-5.3",https://supremecourt.flcourts.gov/content/download/2439771/opinion/Opinion_SC2024-0032.pdf,Local Rule Amendment,-,State,US,Florida,Supreme Court of Florida,State Level,"Civil,Criminal",Gen AI,Use,,No,,,,,,No,,,,checked,No,,,,,,Attorneys,"Amended Comments to Florida Bar rules 4-1.1, 4-1.6, 4-5.1, and 4-5.3, adding a warning
about the necessity to take care in using generative artificial
intelligence",2024-08,Supreme Court of Florida,Supreme Court of Florida,,-,-
Amended and Restated Standing Order: XII. Motions (i),https://ocj-web-files.s3.us-east-2.amazonaws.com/orders/2024-09-03%20Standing%20Order%20-%20Calendar%2060.pdf?VersionId=YRDoJGoI.2Z31xJ_wHTxT7mAn75Dy.NG,Standing Order,Judge William B. Sullivan,State,US,Illinois,"Circuit Court of Cook County, Chancery Division, Mortgage Foreclosure/Mechanics Lien Section",Judge Level,Civil,Any AI,"Create,Analyze",,Yes,,,,,,No,,,,,No,,,,,,Any Parties,,2024-09,"Circuit Court of Cook County, Chancery Division, Mortgage Foreclosure/Mechanics Lien Section","Circuit Court of Cook County, Chancery Division, Mortgage Foreclosure/Mechanics Lien Section",Judge,William B. Sullivan,Sullivan
Standing Order for Civil Cases: D. Use of Generative Artificial Intelligence,https://www.casd.uscourts.gov/judges/robinson/docs/Civil%20Standing%20Order.pdf,Standing Order,Judge Todd W. Robinson,Federal,US,California,US DC Southern District of California,Judge Level,Civil,Gen AI,Create,,No,,,,,,No,,,,checked,FRCP 11,,,,,,"Pro Se Litigants,Attorneys",,2024-09,US DC Southern District of California,S.D. Cal.,Judge,Todd W. Robinson,Robinson
Civil Standing Order: VIII. Motions - General Requirements h. Artificial Intelligence,https://www.cacd.uscourts.gov/sites/default/files/documents/FWS/AD/Civil%20Standing%20Order%20UPDATED%2009-23-2024.pdf,Standing Order,Judge Fred W. Slaughter,Federal,US,California,US DC Central District of California,Judge Level,Civil,Gen AI,Generate Content,,Yes,,,,,,No,,,checked,,FRCP 11,,,,,,Any Parties,,2024-09,US DC Central District of California,C.D. Cal.,Judge,Fred W. Slaughter,Slaughter
Local Civil Rules LR 7.2(f) Disclosure of Use of Generative Artificial Intelligence,https://www.txnd.uscourts.gov/sites/default/files/documents/CIVRULES.pdf,Local Rules,-,Federal,US,Texas,US DC of Northern District of Texas,Court Level,Civil,Gen AI,Prepare,,Yes,,,checked,,,No,,,,,,,,,,,Any Parties,"""A party who files a brief that does not contain the disclosure required by subsection (f)(1) of this rule certifies that no part of the brief was prepared
using generative artificial intelligence.""",2024-09,US DC of Northern District of Texas,N.D. Tex.,,-,-
Local Criminal Rules LCrR 47.2(e) Disclosure of Use of Generative Artificial Intelligence,https://www.txnd.uscourts.gov/sites/default/files/documents/CRIMRULES.pdf,Local Rules,-,Federal,US,Texas,US DC of Northern District of Texas,Court Level,Criminal,Gen AI,Prepare,,Yes,,,checked,,,No,,,,,,,,,,,Any Parties,"""A party who files a brief that does not contain the disclosure required by subsection (f)(1) of this rule certifies that no part of the brief was prepared
using generative artificial intelligence.""",2024-09,US DC of Northern District of Texas,N.D. Tex.,,-,-
Rule 9011-1 Signing of Papers,https://www.nysb.uscourts.gov/sites/default/files/2024-09-30_Amended_LBRs_Final.pdf,Local Rules,-,Federal,US,New York,US Bankruptcy Court Souther District of New York,Court Level,Bankruptcy,Technology,Generate Content,,No,,,,,,No,,,,checked,FRBP 9011,,,,,,Any Parties,"Court references ""technology (e.g., ChatGPT, Google Bard, Bing AI Chat, or
generative artificial intelligence services)""",2024-09,US Bankruptcy Court Souther District of New York,Bankr. D. N.Y.,,-,-
Initial Procedural Order: 8. Use of Generative Artificial Intelligence,https://drive.google.com/file/d/18Ng--k7X5WwSjW9TnmG3EZIQMhdusydy/view?usp=sharing,Pretrial Order,"Judge Joseph F. Leeson, Jr.",Federal,US,Pennsylvania,US DC Eastern District of Pennsylvania,Case Level,Civil,Gen AI,Prepare,,Yes,checked,,checked,,,No,,,checked,,,,,,,,"Attorneys,Pro Se Litigants",,2024-09,US DC Eastern District of Pennsylvania,E.D. Pa.,Judge,"Joseph F. Leeson, Jr.",Leeson
Local Rules of the Texas Business Court,https://www.txcourts.gov/media/1459346/local-rules-of-the-business-court-of-texas.pdf,Local Rules,Judge Andrea K. Bouressa; Judge Bill Whitehill; Judge Melissa Andrews; Judge Patrick K. Sweeten; Judge Marialyn Barnard; Judge Stacy Sharp; Judge Jerry D. Bullard; Judge Brian Stagner; Judge Sofia Adrogué; Judge Grant Dorfman,State,US,Texas,Texas Business Court,Court Level,Civil,Any AI,Use,,No,,,,,,,,,,checked,,,,,,,"Attorneys,Any Parties",,2024-09,Texas Business Court,Texas Business Court,Judge,Andrea K. Bouressa,Bouressa
Matter of Weber,https://law.justia.com/cases/new-york/other-courts/2024/2024-ny-slip-op-24258.html,Court Opinion,Judge Jonathan G. Schopf,State,US,New York,"Surrogate's Court, Saratoga County",Court Level,Probate,Any AI,Generate Content,,No,,,,,,No,,,,,No,,,checked,,,Attorneys,All AI-Generated evidence must be subject to a Frye hearing prior to admission,2024-10,"Surrogate's Court, Saratoga County","Surrogate's Court, Saratoga County",Judge,Jonathan G. Schopf,Schopf
American Immigration Council v. U.S. Department of State: Order,https://www.ropesgray.com/-/media/ropes-post-pilot/microsites/ai/pdfs/2024/oct/american-immigration-council-v-us-department-of-state.pdf?rev=6f91efcdf9924ed695145d7d23be0ba5&hash=A48D72EC2901E92486EDF9EE9A13649E,Pretrial Order,"Judge Rossie D. Alston, Jr.",Federal,US,Virginia,"US DC Eastern District of Virginia, Alexandria Division",Case Level,Civil,Any AI,Use,,Yes,,,,,,No,,,checked,,No,,,,,,Any Parties,,2024-10,"US DC Eastern District of Virginia, Alexandria Division",E.D. Va.,Judge,"Rossie D. Alston, Jr.",Alston
L’intelligence artificielle générative – Guide pratique pour une utilisation responsible,https://www.barreau.qc.ca/media/bnddaqfd/guide-intelligence-artificielle-generative.pdf,Policy/Guidelines,Le Barreau du Québec,State,Canada,,,,,Gen AI,,,,,,,,,,,,,checked,,,,,,,Attorneys,,2024-10,,,,Le Barreau du Québec,Québec
"In Re Procedure Regulating Photography, Recording, and Broadcasting in Courthouse",https://www.sdcourt.ca.gov/sites/default/files/2025-01/general_order_010125-02.pdf,General Order,Judge Maureen F. Hallahan,State,US,California,Superior Court of California - County of San Diego,Court Level,"Civil,Criminal",Gen AI,Use,,No,,,,,,No,,,,,No,,,,,"Documenting, Photographing, Recording, Broadcasting Prohibited without Prior Written Judicial Approval",Any Parties,,2024-12,Superior Court of California - County of San Diego,Superior Court of California - County of San Diego,Judge,Maureen F. Hallahan,Hallahan
"Standing Order for Civil
Cases Assigned to Judge
Anne Hwang: E. Filing Requirements 5. Artificial Intelligence",https://www.cacd.uscourts.gov/sites/default/files/documents/AH/AD/AH-CIVIL%20Standing%20Order%20for%20Civil%20Cases.pdf,Standing Order,Judge Anne Hwang,Federal,US,California,US DC Central District of California,Judge Level,Civil,Gen AI,Generate Content,,Yes,,,,,,No,,,checked,,FRCP 11,,,,,,Any Parties,,2024-12,US DC Central District of California,C.D. Cal.,Judge,Anne Hwang,Hwang
"Civil Rules: 7.1 Motion Practice: (d) Word Limits, Generative AI, and Certificate of Compliance: (3) Generative Artificial Intelligence",https://www.ned.uscourts.gov/internetDocs/localrules/NECivR.2024.pdf,Local Rules,,Federal,US,Nebraska,US DC District of Nebraska,Court Level,Civil,Gen AI,Draft,,No,,,,,,No,,,,checked,FRCP 11,,,,,,Any Parties,"""All parties are expected, if using generative artificial
intelligence programs, to verify the contents of their filings.""",2024-12,US DC District of Nebraska,D. Neb.,,,
Soehlig v. Experian: Case Management & Scheduling Order,https://drive.google.com/file/d/18Ng--k7X5WwSjW9TnmG3EZIQMhdusydy/view?usp=sharing,Scheduling Order,Judge Harvey E. Schlesinger,Federal,US,Florida,"US DC Middle District of Florida, Jacksonville Division",Case Level,Civil,Any AI,Rely On,,No,,,,,,No,,,,checked,FRCP 11,,,,,,"Attorneys,Pro Se Litigants",,2024-12,"US DC Middle District of Florida, Jacksonville Division",M.D. Fla.,Judge,Harvey E. Schlesinger,Schlesinger
Illinois Supreme Court Policy on Artificial Intelligence,https://www.lawnext.com/wp-content/uploads/2024/12/Illinois-Supreme-Court-AI-Policy.pdf,Policy/Guidelines,-,State,US,Illinois,Illinois Supreme Court,State Level,"Civil,Criminal",Any AI,Use,,No,,,,,,No,,,,checked,No,,,,,,Any Parties,"User of AI must review AI-generated content for accuracy and compliance and ""understand both general AI capabilities and the specific tools
being utilized.""",2025-01,Illinois Supreme Court,Illinois Supreme Court,,-,-
Pretrial Schedule A: I. General Instructions: E. Use of Artificial Intelligence,https://drive.google.com/file/d/18Ng--k7X5WwSjW9TnmG3EZIQMhdusydy/view?usp=sharing,Scheduling Order,Judge Robert E. Payne,Federal,US,Virginia,"US DC Eastern District of Virginia, Richmond Division",Case Level,Civil,"Any AI, excluding standard research tools",Research,checked,No,,,,,,No,,,,,No,,,,,,"Attorneys,Pro Se Litigants",,2025-01,"US DC Eastern District of Virginia, Richmond Division",E.D. Va.,Judge,Robert E. Payne,Payne
Guidelines for the Use of Generative AI in the Practice of Law,https://lawsociety.nt.ca/wp-content/uploads/2025/02/LSNT-Guidelines-for-the-Use-of-Generative-AI-in-the-Practice-of-Law-FINAL.pdf,Policy/Guidelines,-,State,Canada,,Law Society of the Northwest Territories,State Level,,Gen AI,Use,,,,,,,,,,,,checked,,,,,,,Attorneys,"""Lawyers must uphold the standards of professional responsibility, ensuring compliance with the Code of Professional Conduct while embracing new technologies. This includes safeguarding confidentiality, maintaining competence, ensuring fairness in billing, addressing biases, and verifying the accuracy of AI-generated content. """,2025-01,Law Society of the Northwest Territories,Law Society of the Northwest Territories,,-,-
Standing Order - Calendar 60,https://ocj-web-files.s3.us-east-2.amazonaws.com/orders/Chancery%20-%20Calendar%2060%20-%20Judge%20Seaton%20-%20Standing%20Order%20%28eff.%20Feb.%2019%2C%202025%29.pdf?VersionId=Ibr6OItJ.1LuHyim4q4ICmAdsXbtUt4g,Standing Order,Judge Debra A. Seaton,State,US,Illinois,"Circuit Court of Cook County, Chancery Division, Mortgage Foreclosure/Mechanics Lien Section",Judge Level,Civil,Any AI,Use,,No,,,,,,No,,,,checked,"Ill. Sup. Ct. R 2.7,Ill. Sup. Ct. R 1.2, Ill. Sup. Ct. R. 137",,,,,,"Attorneys,Pro Se Litigants",,2025-02,"Circuit Court of Cook County, Chancery Division, Mortgage Foreclosure/Mechanics Lien Section","Circuit Court of Cook County, Chancery Division, Mortgage Foreclosure/Mechanics Lien Section",Judge,Debra A. Seaton,Seaton
"Guidelines to Parties and Counsel in Civil Cases Proceeding
Before the Honorable Tiffany R. Johnson:  3. Pretrial Case Management: A. Disclosure of Use of Artificial Intelligence (AI)",https://www.gand.uscourts.gov/sites/gand/files/TRJ_CVStandingOrder.pdf,Standing Order,Judge Tiffany R. Johnson,Federal,US,Georgia,"US DC Northern District of Georgia, Atlanta Division",Judge Level,Civil,Any AI,"Use,Prepare,Generate Content",,Yes,checked,,,,,,,,checked,,FRCP 11,,,,,,"Attorneys,Pro Se Litigants",,2025-02,"US DC Northern District of Georgia, Atlanta Division",N.D. Ga.,Judge,Tiffany R. Johnson,Johnson
IAS Rules: Artificial Intelligence,https://www.nycourts.gov/LegacyPDFS/courts/8jd/pdfs/IAS_Rules/JudgeNorris2025.pdf,Standing Order,Judge Michael J. Norris,State,US,New York,"8th Judicial District, Supreme Court, Niagra County",Judge Level,Civil,Gen AI,Prepare,,Yes,checked,,checked,,,No,,,checked,,No,,,,,,Any Parties,,2025-03,"8th Judicial District, Supreme Court, Niagra County","8th Judicial District, Supreme Court, Niagra County",Judge,Michael J. Norris,Norris
