state,court,ai_type,applies_to,source,rg_applicable_to,consequence,date,id,judge,link,name,req_certify_all,req_certify_if_ai,req_disclose,req_evidence,req_how,req_prohibited,req_prompts,req_proprietary,req_rules,req_sections,req_tool,req_verify,req_warning,summary,type
California,"Cal. Ct. App., Second Dist.",Gen AI,Attorneys,rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Attorneys/Law Firms,sanctions_attorney,2026-02,218,Judge Mark Hanasono | Judge Lee S. Edmon | Judge Rashida A. Adams,https://legalaigovernance.com/tracker/cases/efd-v-band-pro/,"Cal. Ct. App., 2d Dist., Div. 3 – Judge Mark Hanasono, with Judge Lee S. Edmon and Judge Rashida A. Adams concurring",,,,,,,,,,,,,,"In EFD USA, Inc. v. Band Pro Film & Digital Inc., 2026 Cal. App. Unpub. LEXIS 1114 (Cal. Ct. App. Feb. 18, 2026), the appellate court identified several “fabricated quotations and inaccurate descriptions of legal authority” in the appellant’s briefing. The appellant’s lead attorney had used a GenAI “consultant” to prepare a draft opening brief and later used an “unidentified ‘AI system’” to shorten the brief to meet the word limit, but failed to confirm whether the system changed any citations during that process. The opening brief contained several fabricated quotations from real cases, including a leading case cited for a proposition it did not address and a purported quotation that did not appear in the cited authority. The respondents’ brief identified the deficiencies, but the appellant failed to acknowledge or explain the inaccuracies in its reply. In fact, the appellant’s reply brief also contained at least two fabricated quotations. The court then issued an order to show cause why the appellant’s attorneys should not be sanctioned for pursuing a frivolous appeal. In response, the lead attorney accepted responsibility for the errors and attributed them to the GenAI system he used to shorten the briefs. The court emphasized that it is “a fundamental duty of attorneys to read the legal authorities they cite in appellate briefs” and that counsel “plainly” did not read the cases before filing. Finding that the fabricated citations violated the California Rules of Court, which require that arguments be supported “with citations to real (as opposed to fabricated) legal authority,” the court imposed a $900 sanction against the lead attorney alone, payable to the clerk of the court. The court noted that while the deficiencies were “similar in kind” to those in a recent case where it imposed a $10,000 sanction, they were “far less widespread.” The court affirmed lower court’s judgment on all grounds.",Judicial Opinion
Oregon,D. Or.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2026-02,219,Judge Amy M. Baggio,https://law.justia.com/cases/federal/district-courts/oregon/ordce/3:2026cv00298/192166/21/,D. Or. – Judge Amy M. Baggio,,,,,,,,,,,,,checked,"In Martin v. ODS Cmty. Dental Ins., No. 3:26-cv-00298-AB, 2026 U.S. Dist. LEXIS 32712 (D. Or. Feb. 18, 2026), the court noticed that the pro se plaintiff’s motion for a temporary restraining order contained inaccurate or incomplete citations. Judge Baggio warned that “to the extent that Plaintiff is using [GenAI] to aid him in his briefing … the [c]ourt will not tolerate further inaccurate or incomplete citations to legal authority.” The court denied the plaintiff’s motion for a TRO on other grounds.",Judicial Opinion
Oregon,D. Or.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Parties,sanctions_party,2026-02,220,Magistrate Judge Jolie Russo,https://www.courtlistener.com/docket/67771966/jones-v-target-corporation/,D. Or. – Magistrate Judge Jolie Russo,,,,,,,,,,,,,,"In Jones v. Target Corp., No. 3:23-cv-01301-JR, 2026 U.S. Dist. LEXIS 47888 (D. Or. Feb. 18, 2026), on review of the defendant’s motion for terminating sanctions against the pro se plaintiff, the court determined that the plaintiff “filed baseless motions, withheld basic discovery, and relied on ‘hallucinated’ case citations.” In assessing whether terminating sanctions were appropriate, the court considered, among other things, the plaintiff’s behavior that caused unnecessary delays in the case, the plaintiff’s failure to participate in discovery, and the availability of lesser sanctions. The court determined that lesser sanctions “would seemingly have no effect” and recommended terminating sanctions.",Judicial Opinion
Texas,E.D. Tex.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2026-02,221,Judge John Campbell Barker,https://dockets.justia.com/docket/texas/txedce/6:2025cv00120/237229,E.D. Tex. – Judge J. Campbell Barker,,,,,,,,,,,,,checked,"In Walder v. Experian Info. Sols., Inc., 2026 U.S. Dist. LEXIS 33215 (E.D. Tex. Feb. 18, 2026), Judge J. Campbell Barker reviewed de novo and adopted Magistrate Judge Mitchell’s report and recommendation (2026 U.S. Dist. LEXIS 34005) denying the pro se plaintiff's motion for summary judgment. The plaintiff objected on three grounds, including that her citation of fictitious cases was “unintentional, not made in bad faith, and not intended to mislead the Court.” The court noted its appreciation of the plaintiff’s clarification, while reiterating the magistrate judge’s warning “that further citation to nonexistent cases and noncompliance with Local Rule CV-11(g) may result in sanctions, including her pleadings and other papers being struck, filing restrictions, dismissal of her claims, and monetary penalties.” The court overruled the plaintiff's objections, denied the motion without prejudice, and permitted the plaintiff to refile by the court's dispositive motion deadline.",Judicial Opinion
Oklahoma,Okla. Ct. Crim. App.,Gen AI,Attorneys,rg,Generative AI Usage|Requires Disclosure and/or Verification|Applies to AI Used for Filings/Drafting,,2026-02,222,Presiding Judge Gary L. Lumpkin | Vice Presiding Judge William J. Musseman | Judge Robert L. Hudson | Judge Scott Rowland,https://law.justia.com/cases/oklahoma/court-of-appeals-criminal/2026/ccad-2026-1.html,"Okla. Ct. Crim. App. – Presiding Judge Gary L. Lumpkin, Vice Presiding Judge William J. Musseman, Judge Robert L. Hudson",,checked,,,,,,,,,,checked,,"The Oklahoma Court of Criminal Appeals adopted Rule 1.17 governing the use of GenAI in documents filed before the court, entitled “Use of Generative Artificial Intelligence.” See In re Addition of A New Rule to the Rules of the Ct. of Crim. Appeals, 2026 OK CR 7 (Okla. Crim. App. Feb. 18, 2026).  Rule 1.17 defines GenAI as “any type of artificial intelligence that generates content or data in response to a prompt or query by a user.” The rule requires that when GenAI has been “used in the drafting of any document for filing in this Court,” the party or their counsel must “ensure that any portion of the document produced or modified by [GenAI], whether in whole or in part, has been verified as accurate by a person responsible for the document.” Courts may issue sanctions (including, but not limited to, waiver of issues, striking documents, and contempt) for failure to comply. In adopting the rule, the court recognized GenAI's potential to “produce misinformation or even to hallucinate.” Presiding Judge Lumpkin specially concurred, emphasizing that a lawyer’s signature on any document constitutes a certification that “all citations of authority, and cases in the document are true and correct, and all quoted language is accurate and correctly referenced,” and that any document that proves to be incorrect in its use of legal authority “subjects the lawyer to sanctions and disciplinary actions.”",Local Rules
Ohio,S.D. Ohio,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2026-02,223,"Judge Edmund A. Sargus, Jr.",https://www.courtlistener.com/docket/71734632/mardis-v-dealer-loyalty-protection/,"S.D. Ohio – Judge Edmund A. Sargus, Jr.",,,,,,,,,FRCP 11,,,,checked,"In Mardis v. Dealer Loyalty Prot., No. 2:25-cv-1237, 2026 U.S. Dist. LEXIS 32806 (S.D. Ohio Feb. 18, 2026), the defendants alerted the court that the pro se plaintiff likely cited cases hallucinated by GenAI in his motions. Judge Sargus denied the defendants’ motion for sanctions but warned that citing to AI-generated caselaw violates Fed. R. Civ. P. 11. The court directed the plaintiff to cease the behavior and warned that further violations could result in sanctions. The court denied the plaintiff’s motions on other grounds.",Judicial Opinion
Texas,S.D. Tex.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2026-02,224,Magistrate Judge Christina A. Bryan,https://www.bloomberglaw.com/product/blaw/document/XJNAH5KM3P8VQAI6IGBKKL2LVS/download,S.D. Tex. – Magistrate Judge Christina A. Bryan,,,,,,,,,FRCP 11,,,,checked,"In Robertson v. TrueAccord Corp., No. 4:25-CV-2816 (S.D. Tex. Feb. 18, 2026), the pro se plaintiff's response to the defendant's motion to dismiss contained several inaccurate or false case citations. The court noted that the citations “mush together case names, action numbers, and database identifiers from real decisions,” raising the concern that the plaintiff was using GenAI to draft her filings. While recognizing that the plaintiff may not be aware of the risks that GenAI tools pose, and acknowledging the difficulty pro se litigants may face without access to legal databases to verify such citations, the court emphasized that pro se status “does not exempt a party from compliance with relevant rules of procedural and substantive law.” The court reminded the plaintiff that filings containing false citations or quotations violate Fed. R. Civ. P. 11 regardless of whether they are GenAI-generated, and that she must also comply with the court's General Order 2025-04 regarding the use of GenAI in court filings. The court warned that failure to comply may result in sanctions, including monetary sanctions and dismissal of the plaintiff's claims with prejudice.",Judicial Opinion
Colorado,Bankr. D. Colo.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2026-02,225,Judge Michael E. Romero,https://legalaigovernance.com/tracker/cases/chp-1010-mcdowell-v-turpen/,Bankr. D. Colo. – Judge Michael E. Romero,,,,,,,,,,,,,checked,"In in re Escobedo, Nos. 25-12572 MER, 25-1223 MER, 2026 Bankr. LEXIS 390 (Bankr. D. Colo. Feb. 17, 2026), the court noticed that the pro se defendant cited a fake case and included “what appears to be prompts from some artificial intelligence guidance” in his motion to dismiss. Judge Romero warned that GenAI use without verifying the accuracy of citations may result in sanctions. The court granted in part and denied in part the defendant’s motion to dismiss on other grounds.",Judicial Opinion
California,"Cal. Ct. App., Second Dist.",Gen AI,Pro Se Litigants,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2026-02,226,Judge Rashida A. Adams,https://websitedc.s3.amazonaws.com/documents/Rios_v._Puente_Hills_Ford_USA_17_February_2026.pdf,Cal. Ct. App. – Judge Rashida A. Adams,,,,,,,,,Cal. R. Ct. 8.204,,,,checked,"In Rios v. Puente Hills Ford, LLC, No. B344199, 2026 Cal. App. Unpub. LEXIS 1060 (Cal. Ct. App. Feb. 17, 2026), the pro se plaintiff misquoted ten cases and cited two nonexistent cases in his opening brief. The court warned that such conduct violates Cal. R. Ct. 8.204, which requires that all litigants (including pro se parties) verify accuracy of citations in briefs. Judge Adams declined to impose sanctions but cautioned that continued fabricated quotations and citations may result in sanctions. The court affirmed the judgment on other grounds.",Judicial Opinion
Georgia,N.D. Ga.,Gen AI,Attorneys,rg,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2026-02,227,Judge Steven D. Grimberg,https://www.gand.uscourts.gov/sites/gand/files/SDG_CVStandingOrder_20260210.pdf,N.D. Ga. – Judge Steven D. Grimberg,,,,,,,,,,,,,checked,"In his Standing Order Regarding Civil Litigation (N.D. Ga. Feb. 17, 2026), Judge Grimberg addresses GenAI use by stating that while parties may any AI tools, “only human beings will be held responsible for the outcome.” If a filing contains factual or legal errors, the party and lawyers who filed it will be held accountable, “includ[ing] each and every lawyer listed on the signature block of the filing.” The standing order does not impose any disclosure or certification requirements related to GenAI use.",Standing Order
Federal,10th Cir.,Gen AI,Attorneys,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2026-02,228,Judge Joel McElroy Carson | Judge Bobby Ray Badlock | Judge Paul J. Kelly Jr.,https://law.justia.com/cases/federal/appellate-courts/ca10/25-9530/25-9530-2026-02-13.html,10th Cir. – Judge Paul J. Kelly Jr.,,,,,,,,,,,,,checked,"In Picon-Diaz v. Bondi, No. 25-9530, 2026 U.S. App. LEXIS 4417 (10th Cir. Feb. 13, 2026), the petitioners’ counsel relied on or quoted from a nonexistent citation “multiple times” in their brief. The court could not find “any relevant federal case similarly captioned or containing any of the quotations that counsel attributes to this apparently nonexistent case” and suspected GenAI use without proper review. Judge Kelly “disregard[ed] [the p]etitioners’ reliance on this case.” The court declined to impose sanctions but warned the petitioners’ counsel and all attorneys “of the responsibility to ensure that citations to legal authority are not fabrications.” The court denied the petition for review.",Judicial Opinion
Florida,18th Jud. Cir.,Gen AI,"Attorneys,Pro Se Litigants",rg,Generative AI Usage|Requires Disclosure and/or Verification|Applies to AI Used for Filings/Drafting,,2026-02,229,Chief Judge Melanie Chase,https://flcourts18.org/wp-content/uploads/2026/02/26-10.pdf,18th Jud. Cir. Fla. – Chief Judge Melanie Chase,,checked,Yes,,,checked,,,,,,checked,,"Chief Judge Chase's Administrative Order No. 26-10, titled “Disclosure of Use of Generative Artificial Intelligence by Attorneys and Self-Represented Litigants,” requires attorneys and self-represented litigants appearing before the Circuit and County Courts of the Eighteenth Judicial Circuit to disclose the use of any GenAI tool in the preparation of pleadings, motions, memoranda, responses, proposed orders, or other court records. The order notes that such tools may generate inaccurate assertions or citations, and that the court “should not have to parse case citations and parentheticals to discern whether cases exist.” Filings prepared with GenAI assistance must therefore include a certification stating that all factual assertions, legal authority, and citations have been independently reviewed and verified for accuracy, and that the filer accepts full responsibility for the filing's contents. The order emphasizes that GenAI use does not relieve any party of the duty of candor to the tribunal, the obligation to independently verify all factual assertions and legal authority, or compliance with applicable statutes, procedural rules, and the Rules Regulating the Florida Bar. All GenAI-generated content is deemed the work product of the filing party. The order also prohibits the submission of fictitious, fabricated, or hallucinated content; reliance on GenAI-generated citations without independent verification; misrepresentation of GenAI-generated content as independently researched authority; and failure to disclose GenAI use as required by the order, noting that failure to comply may result in sanctions.",Administrative Order
Federal,7th Cir.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2026-02,230,Judge Frank H. Easterbrook | Judge David Frank Hamilton | Judge Doris Lenea Pryor,https://www.courtlistener.com/docket/64352627/mahwikizi-v-uber-technologies-inc/,"7­th Cir. – Judges Frank H. Easterbrook, David Frank Hamilton, and Doris Lenea Pryor",,,,,,,,,,,,,checked,"In Mahwikizi v. Uber Techs., Inc. & Rasier, LLC, 2026 U.S. App. LEXIS 4411 (7th Cir. Feb. 13, 2026), the court noted that it could not find two of the cases the pro se plaintiff cited in his reply brief. The court did not impose sanctions but reminded litigants that whether or not the errors were the result of GenAI use, they must “carefully review their submissions before filing in this court.” The court affirmed the district court’s dismissal for failure to prosecute on other grounds.",Judicial Opinion
New York,S.D.N.Y.,Gen AI,"Attorneys,Pro Se Litigants",rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Attorneys/Law Firms,sanctions_attorney,2026-02,231,Judge Jennifer H. Rearden,https://www.courtlistener.com/docket/70919370/allah-el-v-allied-universal-services/,S.D.N.Y. – Judge Jennifer H. Rearden,,,,,,,,,,,,,,"In Allah-El v. Columbia Univ., 2026 U.S. Dist. LEXIS 30842 (S.D.N.Y. Feb. 13, 2026), the court denied with prejudice the plaintiff’s counsel’s motion for admission pro hac vice. In a prior related action before Judge Denise L. Cote, counsel had filed default judgment requests that were “incomprehensible” and which contained “numerous errors” and “an entire conversation between plaintiff's counsel and ChatGPT.” After noting that counsel’s submissions were clearly drafted by GenAI, Judge Cote ordered counsel to appear and explain why she should not be sanctioned for this conduct, among other deficiencies, and ultimately dismissed that action without prejudice. When the plaintiff refiled the case that was assigned to Judge Rearden, counsel violated Judge Cote’s order to immediately bring the transcript of the prior proceedings to the new presiding judge’s attention. Counsel also made several other procedural errors related to her pro hac vice status and other filings. The court found that counsel's repeated errors and noncompliance with court orders demonstrated that she was unfit to be admitted pro hac vice and denied her application with prejudice. In conjunction, the court directed the plaintiff to retain qualified counsel or file a letter indicating that he intends to proceed pro se.",Judicial Opinion
Indiana,Ind. Ct. App.,Gen AI,,rg,Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2026-02,232,Judge Mary DeBoer | Judge Elane B. Brown | Judge Robert R. Altice Jr.,https://law.justia.com/cases/indiana/court-of-appeals/2026/25a-pl-01071.html,Ind. App. – Judge Mary DeBoer,,,,,,,,,,,,,checked,"In Rechlicz v. Price Point Builders, LLC, 2026 Ind. App. LEXIS 48 (Ind. App. Feb. 12, 2026), the appellants requested that the court sanction the appellee for its improper citations in its brief. The court found that while the appellee’s brief contained case citations with typos and one case that does not exist, the mistakes seemed to be “inadvertent typographical errors” that “did not hinder [the court’s] review of [appellee’s] arguments.” Judge DeBoer admonished the appellee for failing to properly proofread the brief but declined to impose sanctions and affirmed the trial court’s judgment on unrelated grounds.",Judicial Opinion
North Dakota,N.D. Sup. Ct.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Parties,sanctions_party,2026-02,233,Justice Daniel J. Crothers,https://law.justia.com/cases/north-dakota/supreme-court/2026/20250340.html,N.D. Sup. Ct. – Justice Daniel J. Crothers,,,,,,,,,,,,,,"In City of Dickinson v. Helgeson, 2026 ND 34 (N.D. Feb. 12, 2026), the North Dakota Supreme Court granted the City’s request for sanctions against the pro se appellant for his citations to several fictitious cases in his brief in support of his appeal from the district court’s order designating him a vexatious litigant. The state Supreme Court determined that the appellant had similarly submitted fictitious citations to the district court. Judge Crothers noted that while North Dakota courts embrace the use of technology as a means of improving access to justice, litigants must verify arguments and authorities generated by these tools. The court concluded that the appellant was “responsible for the consequences of his errors” regardless of whether they were the result of GenAI. Judge Crothers awarded the City $500 as sanction for the appellant’s violation of N.D.R.App.P. 28(l), which requires that briefs presented to the court be accurate. The court further warned all litigants that citing to nonexistent cases could result in sanctions “appropriate under the circumstances.” The court affirmed the district court’s order on other grounds.",Judicial Opinion
Indiana,S.D. Ind.,Gen AI,Attorneys,rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Attorneys/Law Firms,sanctions_attorney,2026-02,234,Magistrate Judge Mark J. Dinsmore,https://www.courtlistener.com/docket/71145906/virgil-v-experian-information-solutions-inc/,S.D. Ind. – Magistrate Judge Mark J. Dinsmore,,,,,,,,,FRCP 11,,,,,"In Virgil v. Experian Info. Sols. Inc., 2026 U.S. Dist. LEXIS 29090 (S.D. Ind. Feb. 12, 2026), the plaintiff’s attorneys cited to nonexistent caselaw and caselaw that did not relate to the propositions for which it was cited in their response to the defendant’s motion to dismiss. The plaintiff’s attorneys continued to cite to fabricated caselaw even after the defendants raised the issue. At the Show Cause Hearing, the court determined that only one of the plaintiff’s attorneys was responsible for the filings, as the other had never seen the briefs and did not consent to the addition of his signature. The filing attorney took full responsibility and informed the court that he had since implemented preventative measures going forward. Magistrate Judge Dinsmore found that the attorney’s failure to “make the requisite reasonable inquiry into the law” and to “take the most basic of actions—checking the citations in his own briefs,” regardless of whether GenAI was the source of the errors, violated Fed. R. Civ. P. 11. In imposing sanctions, the court considered the amount of sanctions awarded in similar cases and concluded that the “imposition of modest sanctions has failed to act as a deterrent.” Magistrate Judge Dinsmore recommended $10,000 in personal sanctions and referred the matter to the Chief Judge for consideration of further discipline. The court also ordered the attorney to provide a copy of the order to his client.",Judicial Opinion
Federal,10th Cir.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2026-02,235,Judge Joel McElroy Carson | Judge Bobby Ray Badlock | Judge Paul J. Kelly Jr.,https://law.justia.com/cases/federal/appellate-courts/ca10/25-9527/25-9527-2026-02-11.html,10th Cir. – Judge Bobby R. Baldock,,,,,,,,,,,,,checked,"In Chumpitaz-Morales v. Bondi, 2026 U.S. App. LEXIS 4197 (10th Cir. Feb. 11, 2026), the court suspected that the pro se petitioner used GenAI in drafting her brief because it misrepresented several cited cases. Judge Baldock noted that the court had the power to impose sanctions in this instance but chose not to, though warned that “parties who use AI products should know they can and do ‘hallucinate’ legal citations.” The court denied the petition on other grounds.",Judicial Opinion
Oregon,Or. Ct. App.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Parties,sanctions_party,2026-02,236,Presiding Judge Darleen Ortega Darnall | Judge Anna Joyce | Judge Kristina Hellman,https://law.justia.com/cases/oregon/court-of-appeals/2026/a185894.html,Ore. App. – Judge Anna Joyce,,,,,,,,,,,,,,"In Powell v. Emp. Dep't, 2026 Ore. App. LEXIS 171 (Ore. App. Feb. 11, 2026), the pro se claimant’s brief contained nonexistent legal citations, quotations that the court could not find “anywhere in Oregon case law,” and cases cited for propositions they did not support. In response to the court’s order to show cause, the claimant admitted that the errors were inadvertent and the result of GenAI. The claimant was previously admonished by a different court for inaccurate citations and had acknowledged that the tools he used led to incorrect citations. The court noted that even though the claimant was on notice that his drafting process could result in fabricated authority, he failed to alert this court about the potential issue or amend his briefs. Judge Joyce concluded that the claimant’s actions prejudiced the other side and wasted the court’s resources, imposing a $500 monetary sanction as a penalty. The court affirmed the Employment Appeals Board’s decision on unrelated grounds.",Judicial Opinion
Federal,7th Cir.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2026-02,237,Judge David Frank Hamilton | Judge Candace Jackson Akiwumi | Judge John Z. Lee,https://law.justia.com/cases/federal/appellate-courts/ca7/25-1441/25-1441-2025-12-05.html,"7th Cir. – Judges David Frank Hamilton, Candace Jackson Akiwumi, and John Lee",,,,,,,,,,,,,checked,"In Browne v. Ciobanu, 2026 U.S. App. LEXIS 4128 (7th Cir. Feb. 10, 2026), in considering a motion for costs and fees, the court noted that the pro se plaintiff-appellant included nonexistent citations in her opposition brief. The panel reminded the plaintiff-appellant that pro se litigants who use GenAI to assist with court filings must make sure that their filings do not include misrepresentations of fact or law, and that further misrepresentations may result in sanctions.",Judicial Opinion
Texas,90th Jud. Dist. Ct.,Gen AI,"Attorneys,Pro Se Litigants",rg,Generative AI Usage|Requires Disclosure and/or Verification|Applies to AI Used for Filings/Drafting,,2026-02,238,Judge Phillip Gregory,https://newtools.cira.state.tx.us/upload/page/2590/2026/Updated%20Standing%20Order.pdf,90th Jud. Dist. Tex. – Judge Phillip Gregory,,checked,Yes,,,checked,checked,,,,,,,"In his Standing Order Regarding Use of Artificial Intelligence (90th Jud. Dist. Tex. Feb. 10, 2026), Judge Gregory addresses the use of AI in all pending and future cases in the 90th Judicial District Court for Young and Stephens Counties, Texas.  The order observes that GenAI systems “are being incorporated into common professional use,” but notes that the technology “is currently unreliable and prone to bias, and often fabricates information.” The order requires all self-represented litigants and attorneys who utilize “any form of artificial intelligence for legal research or drafting” to certify, using a form appended to the order, that all “language, quotations, sources, citations, arguments, and legal analysis created or contributed to by [GenAI]” were verified as accurate “through traditional (non-AI) legal sources” before submission.  Filers must also acknowledge that they will be “held responsible, and potentially sanctioned” for failure to comply with the order. The order also prohibits the use of AI in the courtroom and court offices, including the use of AI “to record, listen to, or transcribe any activity in the courtroom from whatever vantage point, or court office.”  The attached certificate for litigants makes clear that failure to comply may result in sanctions under the Texas Rules of Disciplinary Conduct, Texas Rule of Civil Procedure 10 regarding the withdrawal of an attorney, the inherent power of the court, or contempt of court.",Standing Order
Colorado,D. Colo.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2026-02,239,Magistrate Judge Maritza Dominguez Braswell,https://www.courtlistener.com/docket/71383517/labonte-v-bokf-na/,"D. Colo. – Magistrate Judge Maritza D. Braswell (Feb. 10, 2026) – GenAI | Filings/Drafting | Warning",,,,,,,,,,,,,checked,"In Labonte v. Bokf, N.A., 2026 U.S. Dist. LEXIS 27530 (D. Colo. Feb. 10, 2026), the pro se plaintiff's responses to defendants' motions to dismiss in a foreclosure-related action contained “multiple inaccuracies that may stem from the improper use of [GenAI].” The court provided several illustrative examples, including a nonexistent quotation attributed to a real case, a real case cited with an incorrect reporter that did not stand for the proposition asserted, and a real case misidentified as a Colorado court decision when it was in fact decided by another federal circuit and had no connection to the cited proposition. The court “strongly condemn[ed] the submission of inaccurate citations and mischaracterized authority,” finding that “[s]uch errors undermine the reliability of Plaintiff's filings and diminish Plaintiff’s credibility.” However, “[o]n careful consideration of the errors and circumstances of this case, including its dismissal,” the court declined to impose disciplinary sanctions. The court then granted the defendants’ motions to dismiss on other grounds.",Judicial Opinion
New York,N.Y. Ct. Claims,Gen AI,Attorneys,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Parties,sanctions_party,2026-02,240,Judge Abby R. Perer,https://www.nycourts.gov/reporter//3dseries/2026/2026_26040.htm,New York - State Trial Court - Judge Abby R. Perer,,,,,,,,,,,,,checked,"In H.F. v. State of N.Y., 2026 NY Slip Op 26040 (N.Y. Ct. Cl. Feb. 10, 2026), the court “was unable to locate four Court of Claims cases cited” in the claimant’s Affirmation in Opposition to Defendant’s Motion, and other citations did not support the arguments made. Claimant’s counsel failed to respond to the court’s request for copies of the cases that it could not locate. The court struck the Affirmation from the record and warned that further submission of fictitious cases will result in monetary sanctions and a referral to the appropriate attorney grievance committee.",Judicial Opinion
New York,"App. Div., First Dep't",Gen AI,Attorneys,rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Attorneys/Law Firms,sanctions_attorney,2026-02,241,Judge Cynthia S. Kern | Presiding Justice Tanya R. Kennedy | Judge Julio Rodriguez III | Judge John R. Higgitt | Judge Margaret A. Chan,https://law.justia.com/cases/new-york/appellate-division-first-department/2026/motion-no-2025-04518-case-no-2025-05041.html,N.Y. App. Div – Judge Cynthia S. Kern,,,,,,,,,FRCP 11,,,,,"In Matter of Zareh, 2026 N.Y. App. Div. LEXIS 689 (N.Y. App. Div. Feb. 10, 2026), the court directed the respondent to demonstrate why reciprocal discipline should not be imposed in New York against the New York-barred respondent for GenAI misconduct which occurred and for which the respondent was disciplined in the Northern District of Texas. After an order to show cause, the district court had found that the drafting attorney, who the respondent supervised, filed a brief drafted using GenAI. The district court also found that although the respondent did not use GenAI or know that the drafting attorney used it, the respondent’s failure to review the cited cases “constituted bad faith” and was a violation of Fed. R. Civ. P. 11. The district court issued a public reprimand as sanction. In considering the Attorney Grievance Committee’s motion for reciprocal discipline, the New York court found that respondent had no available defenses: He received sufficient due process, there was adequate proof establishing misconduct, and the conduct for which the respondent was sanctioned constituted misconduct under the New York Rules of Professional Conduct. The court concluded that the appropriate sanction should be equivalent to that issued by the district court and ordered a public censure.",Judicial Opinion
Indiana,S.D. Ind.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2026-02,242,Judge Matthew Paul Brookman,https://dockets.justia.com/docket/indiana/insdce/1:2024cv00396/223159,S.D. Ind. – Judge Matthew P. Brookman,,,,,,,,,,,,,checked,"In McCarty v. Ind. Gaming Comm'n, 2026 U.S. Dist. LEXIS 54449 (S.D. Ind. Feb. 10, 2026), the pro se plaintiff filed a response brief that included a citation the court could not locate. The court noted that it was “unclear why Plaintiff cited at least one case that does not appear to exist.” Although the court declined to impose sanctions, it cautioned all parties to adhere to Federal Rule of Civil Procedure 11, “especially where [GenAI] may have been used to assist parties in preparing filings.” On unrelated grounds, the court granted the defendant’s motion for summary judgement.",Judicial Opinion
